	time	[fba__A]	[C]	[fba__B1]	[fba__B2]	[model__D]	fba__R1	fba__R2	R3	update__R3	model__R4	vR3
75	7.5	10.0	5.32263622469	0.0	0.0	2.27736377531	0.0	0.0	0.0	1.0	0.532263622469	1.0
76	7.6	10.0	5.36915696538	0.0	0.0	2.33084303462	0.0	0.0	0.0	1.0	0.536915696538	1.0
77	7.7	10.0	5.41521491596	0.0	0.0	2.38478508404	0.0	0.0	0.0	1.0	0.541521491596	1.0
78	7.8	10.0	5.46081468651	0.0	0.0	2.43918531349	0.0	0.0	0.0	1.0	0.546081468651	1.0
79	7.9	10.0	5.50596084082	0.0	0.0	2.49403915918	0.0	0.0	0.0	1.0	0.550596084082	1.0
80	8.0	10.0	5.55065789685	0.0	0.0	2.54934210315	0.0	0.0	0.0	1.0	0.555065789685	1.0
81	8.1	10.0	5.59491032723	0.0	0.0	2.60508967277	0.0	0.0	0.0	1.0	0.559491032723	1.0
82	8.2	10.0	5.63872255969	0.0	0.0	2.66127744031	0.0	0.0	0.0	1.0	0.563872255969	1.0
83	8.3	10.0	5.68209897758	0.0	0.0	2.71790102242	0.0	0.0	0.0	1.0	0.568209897758	1.0
84	8.4	10.0	5.72504392031	0.0	0.0	2.77495607969	0.0	0.0	0.0	1.0	0.572504392031	1.0
85	8.5	10.0	5.7675616838	0.0	0.0	2.8324383162	0.0	0.0	0.0	1.0	0.57675616838	1.0
86	8.6	10.0	5.80965652095	0.0	0.0	2.89034347905	0.0	0.0	0.0	1.0	0.580965652095	1.0
87	8.7	10.0	5.85133264208	0.0	0.0	2.94866735792	0.0	0.0	0.0	1.0	0.585133264208	1.0
88	8.8	10.0	5.89259421535	0.0	0.0	3.00740578465	0.0	0.0	0.0	1.0	0.589259421535	1.0
89	8.9	10.0	5.93344536726	0.0	0.0	3.06655463274	0.0	0.0	0.0	1.0	0.593344536726	1.0
90	9.0	10.0	5.97389018298	0.0	0.0	3.12610981702	0.0	0.0	0.0	1.0	0.597389018298	1.0
91	9.1	10.0	6.01393270688	0.0	0.0	3.18606729312	0.0	0.0	0.0	1.0	0.601393270688	1.0
92	9.2	10.0	6.05357694288	0.0	0.0	3.24642305712	0.0	0.0	0.0	1.0	0.605357694288	1.0
93	9.3	10.0	6.09282685489	0.0	0.0	3.30717314511	0.0	0.0	0.0	1.0	0.609282685489	1.0
94	9.4	10.0	6.13168636722	0.0	0.0	3.36831363278	0.0	0.0	0.0	1.0	0.613168636722	1.0
95	9.5	10.0	6.17015936499	0.0	0.0	3.42984063501	0.0	0.0	0.0	1.0	0.617015936499	1.0
96	9.6	10.0	6.20824969451	0.0	0.0	3.49175030549	0.0	0.0	0.0	1.0	0.620824969451	1.0
97	9.7	10.0	6.24596116371	0.0	0.0	3.55403883629	0.0	0.0	0.0	1.0	0.624596116371	1.0
98	9.8	10.0	6.2832975425	0.0	0.0	3.6167024575	0.0	0.0	0.0	1.0	0.62832975425	1.0
99	9.9	10.0	6.32026256318	0.0	0.0	3.67973743682	0.0	0.0	0.0	1.0	0.632026256318	1.0
100	10.0	10.0	6.3568599208	0.0	0.0	3.7431400792	0.0	0.0	0.0	1.0	0.63568599208	1.0
101	10.1	10.0	6.39309327357	0.0	0.0	3.80690672643	0.0	0.0	0.0	1.0	0.639309327357	1.0
102	10.2	10.0	6.4289662432	0.0	0.0	3.8710337568	0.0	0.0	0.0	1.0	0.64289662432	1.0
103	10.3	10.0	6.46448241528	0.0	0.0	3.93551758472	0.0	0.0	0.0	1.0	0.646448241528	1.0
104	10.4	10.0	6.49964533966	0.0	0.0	4.00035466034	0.0	0.0	0.0	1.0	0.649964533966	1.0
105	10.5	10.0	6.53445853081	0.0	0.0	4.06554146919	0.0	0.0	0.0	1.0	0.653445853081	1.0
106	10.6	10.0	6.56892546815	0.0	0.0	4.13107453185	0.0	0.0	0.0	1.0	0.656892546815	1.0
107	10.7	10.0	6.60304959643	0.0	0.0	4.19695040357	0.0	0.0	0.0	1.0	0.660304959643	1.0
108	10.8	10.0	6.63683432608	0.0	0.0	4.26316567392	0.0	0.0	0.0	1.0	0.663683432608	1.0
109	10.9	10.0	6.67028303354	0.0	0.0	4.32971696646	0.0	0.0	0.0	1.0	0.667028303354	1.0
110	11.0	10.0	6.70339906161	0.0	0.0	4.39660093839	0.0	0.0	0.0	1.0	0.670339906161	1.0
111	11.1	10.0	6.7361857198	0.0	0.0	4.4638142802	0.0	0.0	0.0	1.0	0.67361857198	1.0
112	11.2	10.0	6.76864628464	0.0	0.0	4.53135371536	0.0	0.0	0.0	1.0	0.676864628464	1.0
113	11.3	10.0	6.80078400003	0.0	0.0	4.59921599997	0.0	0.0	0.0	1.0	0.680078400003	1.0
114	11.4	10.0	6.83260207757	0.0	0.0	4.66739792243	0.0	0.0	0.0	1.0	0.683260207757	1.0
115	11.5	10.0	6.86410369686	0.0	0.0	4.73589630314	0.0	0.0	0.0	1.0	0.686410369686	1.0
116	11.6	10.0	6.89529200586	0.0	0.0	4.80470799414	0.0	0.0	0.0	1.0	0.689529200586	1.0
117	11.7	10.0	6.92617012118	0.0	0.0	4.87382987882	0.0	0.0	0.0	1.0	0.692617012118	1.0
118	11.8	10.0	6.95674112837	0.0	0.0	4.94325887163	0.0	0.0	0.0	1.0	0.695674112837	1.0
119	11.9	10.0	6.98700808231	0.0	0.0	5.01299191769	0.0	0.0	0.0	1.0	0.698700808231	1.0
120	12.0	10.0	7.01697400742	0.0	0.0	5.08302599258	0.0	0.0	0.0	1.0	0.701697400742	1.0
