# Where is biomass defined ? #
M_Biomass_none Biomass
R_PG181ex PG181ex
R_PGP160ex PGP160ex
R_PGP161ex PGP161ex
R_PGP181ex PGP181ex
R_PHEex PHEex
R_PhePheex PhePheex
R_PHPYRex PHPYRex
R_PIex PIex
R_PL5Pex PL5Pex
R_POE_SORBITANex POE_SORBITANex
R_PPAAex PPAAex
R_PPGPPex PPGPPex
R_PPHGex PPHGex
R_PPIex PPIex
R_PPIXex PPIXex
R_PROex PROex
R_proflavineex proflavineex
R_ProProex ProProex
R_PRPPex PRPPex
R_pSERex pSERex
R_PSIURIex PSIURIex
R_PSIURIMPex PSIURIMPex
R_pTHRex pTHRex
R_PTRCex PTRCex
R_pTYRex pTYRex
R_putdTex putdTex
R_putdTMPex putdTMPex
R_PYDXex PYDXex
R_PYRex PYRex
R_R1Pex R1Pex
R_R5Pex R5Pex
R_RBFLVRDex RBFLVRDex
R_rhodamine6Gex rhodamine6Gex
R_RIBex RIBex
R_RIBFLVex RIBFLVex
R_RL5Pex RL5Pex
R_s2Uex s2Uex
R_s2UMPex s2UMPex
R_s4Uex s4Uex
R_s4UMPex s4UMPex
R_S7Pex S7Pex
R_SALAex SALAex
R_SBTex SBTex
R_SBT6Pex SBT6Pex
R_SERex SERex
R_SerSerex SerSerex
R_SNGLYPex SNGLYPex
R_SO2ex SO2ex
R_SO4ex SO4ex
R_SPMDex SPMDex
R_STEROLex STEROLex
R_T3P1ex T3P1ex
R_T3P2ex T3P2ex
R_TAG16Pex TAG16Pex
R_TAG6Pex TAG6Pex
R_tBHPex tBHPex
R_tBOHex tBOHex
R_TDECEG3Pex TDECEG3Pex
R_TDECG3Pex TDECG3Pex
R_TDPex TDPex
R_tetraphenylphosphoniumex tetraphenylphosphoniumex
R_THFex THFex
R_THMex THMex
R_THMPex THMPex
R_THRex THRex
R_ThrThrex ThrThrex
R_THYex THYex
R_TPPex TPPex
R_TRIBUTYRINex TRIBUTYRINex
R_TRILAURINex TRILAURINex
R_TRIMYRISTINex TRIMYRISTINex
R_TRIOLEINex TRIOLEINex
R_TRIPALMITINex TRIPALMITINex
R_TRISTEARINex TRISTEARINex
R_TRI_HDCEA_INex TRI_HDCEA_INex
R_TRI_TTDCEA_INex TRI_TTDCEA_INex
R_TRPex TRPex
R_TrpTrpex TrpTrpex
R_TTDCAex TTDCAex
R_TTDCEAex TTDCEAex
R_TTPex TTPex
R_TWEEN80ex TWEEN80ex
R_TYRex TYRex
R_TyrTyrex TyrTyrex
R_U23CMPex U23CMPex
R_U3MPex U3MPex
R_UDPex UDPex
R_UDPGex UDPGex
R_UDPGALex UDPGALex
R_UDPGALFex UDPGALFex
R_Umex Umex
R_UmMPex UmMPex
R_UMPex UMPex
R_URAex URAex
R_URIex URIex
R_UTPex UTPex
R_VALex VALex
R_ValValex ValValex
R_vinyl_chlorideex vinyl_chlorideex
R_X5Pex X5Pex
R_XANex XANex
R_XTSNex XTSNex
R_ZNex ZNex
R_MG_124_MONOMERex MG_124_MONOMERex
R_MG_287_MONOMERex MG_287_MONOMERex
R_MG_124_MONOMER_oxex MG_124_MONOMER_oxex
R_MG_229_231_TETRAMERex MG_229_231_TETRAMERex
R_MG_229_231_TETRAMER_oxex MG_229_231_TETRAMER_oxex
R_MG_287_MONOMER_ACPex MG_287_MONOMER_ACPex
R_MG_287_MONOMER_ddcaACPex MG_287_MONOMER_ddcaACPex
R_MG_287_MONOMER_hdeACPex MG_287_MONOMER_hdeACPex
R_MG_287_MONOMER_myrsACPex MG_287_MONOMER_myrsACPex
R_MG_287_MONOMER_ocdcaACPex MG_287_MONOMER_ocdcaACPex
R_MG_287_MONOMER_octeACPex MG_287_MONOMER_octeACPex
R_MG_287_MONOMER_palmACPex MG_287_MONOMER_palmACPex
R_MG_287_MONOMER_tdeACPex MG_287_MONOMER_tdeACPex
R_MG_427_DIMERex MG_427_DIMERex
R_MG_427_DIMER_oxex MG_427_DIMER_oxex
R_MG_454_DIMERex MG_454_DIMERex
R_MG_454_DIMER_oxex MG_454_DIMER_oxex

## Some ix ?? ##
R_ADix ADix
R_ADPix ADPix
R_AHCYSix AHCYSix
R_AMPix AMPix
R_ATPix ATPix
R_cmnm5s2UMPix cmnm5s2UMPix
R_CMPix CMPix
R_CTPix CTPix
R_DR5Pix DR5Pix
R_FMETix FMETix
R_FORix FORix
R_FTHF10ix FTHF10ix
R_GDPix GDPix
R_GmMPix GmMPix
R_GMPix GMPix
R_GNix GNix
R_GTPix GTPix
R_Hix Hix
R_H2Oix H2Oix
R_k2CMPix k2CMPix
R_LIPOYLLYSix LIPOYLLYSix
R_m1GMPix m1GMPix
R_m2GMPix m2GMPix
R_m62AMPix m62AMPix
R_m7GMPix m7GMPix
R_METix METix
R_NH3ix NH3ix
R_NMNix NMNix
R_PIix PIix
R_PPIix PPIix
R_pSERix pSERix
R_PSIURIMPix PSIURIMPix
R_pTHRix pTHRix
R_pTYRix pTYRix
R_s4UMPix s4UMPix
R_SNGLYPix SNGLYPix
R_THFix THFix
R_THYix THYix
R_UmMPix UmMPix
R_UMPix UMPix
R_URAix URAix
R_UTPix UTPix

## ?? ##
R_Growth Growth

## ?? ##
R_Bmssex Bmssex
