Flux	Value
R_PfkA5	-0.00886997409242572
R_Pgi	3.89853918376579
R_YbiV_F6P	0
R_Fre1	0
R_Fre2	0.000275408370553125
R_GpsA	-0.000275408370553143
R_TX_FALD	0
R_TX_FAPydA	0
R_UshA_FAPydAMP	0
R_TX_FAPydG	0
R_UshA_FAPydGMP	0
R_Fba	3.88746112925
R_FMETHs	0
R_Fre5	0
R_Fre6	0.0065586622225274
R_NrdEF_maintenance	0.0032793311112637
R_TX_FOR	0
R_FolD2	0.01313127348018
R_FTHF10ix	0
R_METHFHYD	0.000128605289871054
R_TX_UHPT2	0
R_GalU1	0.00064554506366933
R_Pgm	-0.000645545063669477
R_CpdB4	0
R_Eno	7.76965863961265
R_GpmA	7.76965863961264
R_TX_GLCPTS	3.89918472882946
R_TX_UHPT1	0
R_YbiV_G6P	0
R_Pyk_GDP	35.6671538196
R_Udk1	0.00886997409242771
R_Cls1	0.000212790664736795
R_Cls2	0.000164283807794052
R_Cls3	0.000110270896815416
R_GlpQ4	0
R_MG385r4	0
R_TX_GLUP	0.00876773843918255
R_YbiV_GL2P	0
R_YbiV_SNGLYP	0
R_GlpQ3	0
R_GlpQ5	0
R_glycosyltransferase_PG160_DAG160	0.000169141039684163
R_glycosyltransferase_PG161_DAG161	0.000130269387437506
R_glycosyltransferase_PG181_DAG181	8.61815875028864E-05
R_MG385r3	0
R_MG385r5	0
R_PlsX2	0
R_PlsX3	0
R_PlsX4	0.0020538192279956
R_PlsX5	0.00156832561084292
R_PlsX6	0
R_PlsX7	0.00106048888746197
R_TX_glchm5dC	0
R_UshA_glchm5dCMP	0
R_TX_glchm5dU	0
R_UshA_glchm5dUMP	0
R_Apts_Gln	0.00949829256386378
R_GLNHs	0
R_Apts_Glu	0.0124956433676549
R_TX_gludT	0
R_UshA_gludTMP	0
R_Apts_Gly	0
R_GlyA3	0.000413715517617761
R_TX_Gm	-0.00462673907037006
R_UshA_GmMP	0.0046267390703689
R_Hpt2	0.00642475573600462
R_UshA_GMP	0
R_DeoD6	3.70973576879956E-19
R_TX_GN	0.012983417958532
R_GTPix	5.40609164458723
R_CpdB1	0
R_DeoD4	0
R_DeoD7	0
R_FolD1	0.0132598787700505
R_Fre3	0
R_Fre4	0
R_glycosyltransferase_Ceramide16_GalCer16	0
R_glycosyltransferase_Ceramide16_GlcCer16	0
R_glycosyltransferase_DAG160_GalDAG160	0
R_glycosyltransferase_DAG160_GlcDAG160	0
R_glycosyltransferase_DAG161_GalDAG161	0
R_glycosyltransferase_DAG161_GlcDAG161	0
R_glycosyltransferase_DAG181_GalDAG181	0
R_glycosyltransferase_DAG181_GlcDAG181	0
R_glycosyltransferase_GalCer16_GalGalCer16	0
R_glycosyltransferase_GalCer16_GlcGalCer16	0
R_glycosyltransferase_GalDAG160_GalGalDAG160	0
R_glycosyltransferase_GalDAG160_GlcGalDAG160	0
R_glycosyltransferase_GalDAG161_GalGalDAG161	0
R_glycosyltransferase_GalDAG161_GlcGalDAG161	0
R_glycosyltransferase_GalDAG181_GalGalDAG181	0
R_glycosyltransferase_GalDAG181_GlcGalDAG181	0
R_glycosyltransferase_GalGalDAG160_GalGalGalDAG160	0
R_glycosyltransferase_GalGalDAG160_GlcGalGalDAG160	0
R_glycosyltransferase_GalGalDAG161_GalGalGalDAG161	0
R_glycosyltransferase_GalGalDAG161_GlcGalGalDAG161	0
R_glycosyltransferase_GalGalDAG181_GalGalGalDAG181	0
R_glycosyltransferase_GalGalDAG181_GlcGalGalDAG181	0
R_glycosyltransferase_GalGlcCer16_GalGalGlcCer16	0
R_glycosyltransferase_GalGlcDAG160_GalGalGlcDAG160	0
R_glycosyltransferase_GalGlcDAG160_GlcGalGlcDAG160	0
R_glycosyltransferase_GalGlcDAG161_GalGalGlcDAG161	0
R_glycosyltransferase_GalGlcDAG161_GlcGalGlcDAG161	0
R_glycosyltransferase_GalGlcDAG181_GalGalGlcDAG181	0
R_glycosyltransferase_GalGlcDAG181_GlcGalGlcDAG181	0
R_glycosyltransferase_GlcCer16_GalGlcCer16	0
R_glycosyltransferase_GlcDAG160_GalGlcDAG160	0
